speciesID	Catalogue	strainID	dkw_code	strain_plus_code	Cultivation_Temperature	Cultivation_Medium	Temperature_Minimum	Temperature_Maximum	Optimal Salt	Salt Range	NCBI_genome_ID	NCBI_genome_strainID	First Citation	link	Isolation_Environment	Designation	source	source_type	w_v_c	ecotype	Location	Latitude	Longitude	Latitude_j	Longitude_j	ISME_source
adeliensis	DSMZ 15333	P_adeliensis_SJ14	IC001	adeliensis_001	25	lysogeny broth	2	37	NA	0-10%			Shivaji et al 2005	http://ac.els-cdn.com/S0723202005703027/1-s2.0-S0723202005703027-main.pdf?_tid=f766fb28-afdb-11e6-a06b-00000aab0f26&acdnat=1479727176_e629009ad57baa10b2e6b4f5f9c07933	fast ice	marine	sea water	M	c	RE	Antarctica	-66	136	-66	136	marine
aestuarii	JCM 16343	P_aestuarii_SC35	IC044	aestuarii_044	30	marine broth	4	37	1-2%	0 - 4%			Baik et al 20	http://www.microbiologyresearch.org/docserver/fulltext/ijsem/60/7/1631.pdf?expires=1479727929&id=id&accname=guest&checksum=125C6D6951150C9C213784641C0CF1F0	tidal flat sediment	marine	marine soil	M	c	FE	"Suncheon Bay, Korea"	34	127	34	127	marine
alimentarius	DSMZ 16065	P_alimentarius_JG100	IC002	alimentarius_002	30	marine broth	4	35	2-3%	0-12%	44405	PAMC 27889	Lee et al 2016	https://www.ncbi.nlm.nih.gov/labs/articles/27445386/	jeotgal	food processing	food	FD	c	RE	South Korea	35	128	36	128	food
alimentarius	DSMZ 16066	P_alimentarius_JG102	IC024	alimentarius_024	25	marine broth					44405	PAMC 27889	Yoon et al 2005		squid jeotgal	food processing	food	FD	c	RE	South Korea	35	128	37	128	food
aquaticus	DSMZ 15339	P_aquaticus_CMS56	IC003	aquaticus_003	20	lysogeny broth	4	30	NA	NA	22929	CMS 56	Shivaji et al 2005	http://www.microbiologyresearch.org/docserver/fulltext/ijsem/55/2/757.pdf?expires=1479727806&id=id&accname=guest&checksum=7BC44FC0741B3A6F543E1BF15BEBBE86	cyanobacterial mat	terrestrial	terrestrial water	T	c	RE	McMurdo Antarctica	-77	166	-77	166	terrestrial
aquimaris	DSMZ 16329	P_aquimaris_SW-210	IC025	aquimaris_025	30	marine broth	4	34	2-3%	0-12%			Yoon et al 2005	http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63464-0#tab2	water	marine	sea water	M	c	RE	"South Sea, Korea"	37	127	37	127	marine
arcticus	DSMZ 17307	P_arcticus_273-4	IC004	arcticus_004	20	marine broth	-10	28	NA	0.02 - 67% ???	1640	273-4	Ayala-del-Rio et al 2010	http://aem.asm.org/content/76/7/2304.full	permafrost	terrestrial	soil	T	c	RE	"Kolyma Lowland, Siberia"	62	149	62	149	terrestrial
arenosus	DSMZ 15389	P_arenosus_R7	IC005	arenosus_005	25	marine broth	4	37	NA	0-10%			Romanenko et al 2004	http://www.microbiologyresearch.org/docserver/fulltext/ijsem/54/5/1741.pdf?expires=1479728085&id=id&accname=guest&checksum=7722A876B7FD0D65473EA50DB0178CBD	"bottom sediments, Sea of Japan"	marine	marine soil	M	c	FE	"Amursky Bay, Sea of Japan"	43	132	43	133	marine
celer	DSMZ 23510	P_celer_SW-238	IC006	celer_006	30	marine broth	4	40	2-3%	0-16%			Yoon et al 2005	http://www.microbiologyresearch.org/docserver/fulltext/ijsem/55/5/1885.pdf?expires=1479728123&id=id&accname=guest&checksum=643859717B7AC238B5833B09328B289B		marine	sea water	M	c	FE	"South Sea, Korea"	35	128	35	128	marine
cibarius	DSMZ 16327	P_cibarius_JG-219	IC007	cibarius_007	30	marine broth	4	32	2-5%	1-10%	43734	W1	R¿der et al 2015	http://www.sciencedirect.com/science/article/pii/S0740002015000817	jeotgal	food processing	food	FD	c	RE	Korea	35	128	35	129	food
cibarius	DSMZ 16328	P_cibarius_JG-220	IC026	cibarius_026	30	marine broth	4	32	2-5%	0-10%	43734	W1	Jung et al 2005	http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63398-0#tab2	jeotgal	food processing	food	FD	c	RE	Korea	35	128	35	130	food
ciconiae	DSMZ 28412	P_ciconiae_176-10	IC008	ciconiae_008	30	marine broth	10	40	NA	1-4%	94775	MF31	Kampfer et al 2015	http://www.microbiologyresearch.org/docserver/fulltext/ijsem/65/3/772_ijs000013.pdf?expires=1479728377&id=id&accname=guest&checksum=77EFDBEBE5A79C1B196BCF629151F92B	stork choana	bird	bird	H	w	FE	"Klopot, Poland"	52	14	52	14	warm host
cryohalolentis	DSMZ 17306	P_cryohalolentis_K5	IC009	cryohalolentis_009	20	marine broth	-10	30	NA	0-18 %	1342	K5	Bakermans et al 2003	http://onlinelibrary.wiley.com/doi/10.1046/j.1462-2920.2003.00419.x/epdf	ice core	terrestrial	terrestrial water	T	c	RE	"Kolyma Lowland, Siberia"	62	149	62	150	terrestrial
faecalis	-	P_faecalis_PBFP-1	IC023	faecalis_023	25	lysogeny broth	4	37							polar bear feces	mammal	mammal	H	w	FE						warm host
faecalis	DSMZ 14664	P_faecalis_Iso-46	IC087	faecalis_087	30	lysogeny broth	4	36	NA	NA			Kampfer et al 2002	http://www.sciencedirect.com/science/article/pii/S0723202004700831	pigeon feces bioaerosol	bird	bird	H	w	FE	Germany	51	10.5	51	10.5	warm host
fjordensis	KCTC 42279	P_fjordensis_BSw21516B	IC054	fjordensis_054	15	marine broth	4	34	2-5%	0-8%			Zeng et al 2015	https://www.ncbi.nlm.nih.gov/pubmed/26362329	seawater	marine	sea water	M	c	RE	glacial fjord in Svalbard	78.59	11.39	78.59	11	marine
fozii	BCCM LMG 21272	P_fozii_NF23	IC021	fozii_021	15	tryptic soy broth	4	30	NA	0-12%	70043	CECT 5889	Bozal et al 2003	http://www.microbiologyresearch.org/docserver/fulltext/ijsem/53/4/1093.pdf?expires=1479735541&id=id&accname=guest&checksum=22E5B53D007E5D114FCB352F4D9EC3DD	Johnson's Dock Antarctica	marine	soil	T	c	FE	Antarctica	-62	-60	-62	-60	terrestrial
frigidicola	DSMZ 12411	P_frigidicola_ACAM304	IC010	frigidicola_010	10	marine broth	-10	22	0.6 - 0.8%	0-9%	83499	ACAM 304	Bowman et al 1996	http://www.microbiologyresearch.org/docserver/fulltext/ijsem/46/4/ijs-46-4-841.pdf?expires=1479735632&id=id&accname=guest&checksum=EB57D3724DECBCE94B36A505B7E54747	soil	terrestrial	soil	T	c	RE	"Magnetic Island, Vest fold Hills"	-68	77	-69	77	terrestrial
frigidicola	NCIMB 13662	P_frigidicola_ACAM309	IC056	frigidicola_056	20	tryptic soy broth					83499	ACAM 304			penguin guano	bird	bird	H	w	RE	"Magnetic Island, Antarctica"	-68.32	77.54	-68.32	77.54	warm host
fulvigenes	JCM 15525	P_fulvigenes_KC-40	IC045	fulvigenes_045	25	marine broth	-5	37	NA	0-12%			Romanenko et al 2009	http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.007195-0#tab2	crustacean	invertebrate	invertebrate	H	c	FE	"Peter the Great Bay, Russia"	42	132	42	132	other host
glaciei	KCTC 42280	P_glaciei_Blc20019	IC055	glaciei_055	20	marine broth	4	34	2-4%	0-8%			Zeng et al 2016	http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000939	ice core	terrestrial	terrestrial water	T	c	RE	Svalbard	78.59	11.39	79	11.39	terrestrial
glacincola	DSMZ 12194	P_glacincola_ACAM483	IC011	glacincola_011	15	marine broth	-10	22	NA	0-5%	40823	BNF20	Bowman et al 1997	http://www.sciencedirect.com/science/article/pii/S0723202097800677		terrestrial	terrestrial water	T	c	RE	Amery Ice Shelf Antarctica	-69.3	71.4	-69.3	71.4	terrestrial
glacincola	NCIMB 115	P_glacincola_1447	IC057	glacincola_057	10	marine broth					40823	BNF20			gills of skate	fish	fish	H	c	RE	North Sea	57	4	57	4	other host
immobilis	DSMZ 7229	P_immobilis_A351	IC012	immobilis_012	20	tryptic soy broth	5	25	NA	NA	15924	DSM 7229	Juni and Heym 1986	http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-36-3-388	poultry carcass	food processing	food	FD	c	RE						food
immobilis	NCIMB 29	P_immobilis_A1007	IC058	immobilis_058	20	nutrient broth					15924	DSM 7229			skin of cod	fish	fish	H	c	RE						other host
immobilis	NCIMB 97	P_immobilis_1555	IC059	immobilis_059	20	nutrient broth					15924	DSM 7229			skin of lemon sole	fish	fish	H	c	RE	North Sea	57	4	57	5	other host
immobilis	NCIMB 98	P_immobilis_Liston1000	IC060	immobilis_060	20	nutrient broth					15924	DSM 7229			gills of lemon sole	fish	fish	H	c	RE	North Sea	57	4	57	6	other host
immobilis	NCIMB 99	P_immobilis_1617	IC061	immobilis_061	20	nutrient broth					15924	DSM 7229			gills of lemon sole	fish	fish	H	c	RE	North Sea	57	4	57	7	other host
