dkw_code	TGA	BSA
IC001	AR	0
IC002	AR	1
IC003	unclear	0
IC004	AR	0
IC005	unclear	1
IC006	AR	0.5
IC007	"AR, MA"	0
IC008	"AR, MA"	0
IC009	AR	0
IC010	"AR, MA"	0
IC011		
IC012	"AR, MA"	0
IC013	AR	0
IC014	"AR, MA"	0
IC015	FA	1
IC016	AR	0
IC017	MA	1
IC018	"AR, MA"	1
IC019		
IC020	"AR, MA"	0
IC021	"AR, MA"	0
IC022	"AR, MA"	0
IC023	unclear	0
IC024	FA	1
IC025	FA	0
IC026	FA	0
IC027	unclear	1
IC028	AR	0
IC029	MA	
IC030	"AR, MA"	0
IC031	AR	0
IC032	"AR, MA"	0
IC033	MA	0
IC034	FA	1
IC035	MA	0
IC036	"AR, MA"	0
IC037	not	0
IC038	MA	0
IC039	AR	0
IC040	AR	0
IC041	AR	0
IC042	"AR, MA"	1
IC043	not	0
IC044	AR	0
IC045	AR	0
IC046	AR	0
IC047	FA	0
IC048	AR	0
IC049	MA	0
IC050	MA	0
IC051	"AR, MA"	0
IC052	FA	0
IC053	FA	0
IC054		
IC055		
IC056	MA	0
IC057	"AR, MA"	0
IC058	MA	0
IC059	AR	0
IC060	AR	0
IC061	AR	0
IC062	MA	0
IC063	MA	0
IC064	not	0
IC065	not	0
IC066	"AR, MA"	0
IC067	not	0
IC068	MA	0
IC069	AR	0
IC070	AR	0
IC071	FA	0
IC072	"AR, MA"	0
IC073	AR	0
IC074	"AR, MA"	0
IC075	FA	0
IC076	not	0
IC077	AR	1
IC080	AR	0
IC082	"AR, MA"	0
IC083	"AR, MA"	0
IC084	MA	0
IC085	"AR, MA"	0
IC086	"AR, MA"	0
IC087	"AR, MA"	0
IC088	unclear	0
IC089	"AR, MA"	0.5
IC090	MA	0
IC091	MA	0.5
IC092	MA	0.5
IC093	FA	0.5
