strain_plus_code	batch	medium	salt	temperature	replicate	GrowthBin	k	n0	r	sigma	dilution.OD
adeliensis_001	w2m	MM	0	37	1	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	0	37	2	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	0	37	3	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	0	37	4	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	0	37	5	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	2.5	37	1	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	2.5	37	2	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	2.5	37	3	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	2.5	37	4	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	2.5	37	5	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	5	37	1	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	5	37	2	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	5	37	3	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	5	37	4	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	5	37	5	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	10	4	1	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	10	4	2	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	10	4	3	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	10	4	4	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	10	4	5	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	10	25	1	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	10	25	2	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	10	25	3	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	10	25	4	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	10	25	5	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	10	37	1	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	10	37	2	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	10	37	3	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	10	37	4	0	0	0	0	0	0.28
adeliensis_001	w2m	MM	10	37	5	0	0	0	0	0	0.28
alimentarius_024	w4r2	MM	10	4	1	0	0	0	0	0	0.26
alimentarius_024	w4r2	MM	10	4	2	0	0	0	0	0	0.26
alimentarius_024	w4r2	MM	10	4	3	0	0	0	0	0	0.26
alimentarius_024	w4r2	MM	10	4	4	0	0	0	0	0	0.26
alimentarius_024	w4r2	MM	10	4	5	0	0	0	0	0	0.26
arenosus_005	w1m	MM	0	37	1	0	0	0	0	0	0.34
arenosus_005	w1m	MM	0	37	2	0	0	0	0	0	0.34
arenosus_005	w1m	MM	0	37	3	0	0	0	0	0	0.34
