geneCluster	pan_category	COG1	COG2	COG3	COG4
GC00002320_5_p2	shell	X			
GC00002647_p1	shell	S			
GC00002141_p1	shell	X			
GC00002150_p1	shell	X			
GC00003032_r1_r1_1_p1	shell	M			
GC00002119_r1_1_p1	shell	K			
GC00000361_p1	shell	X			
GC00002215_p1	shell	X			
GC00000315_p1	shell	O			
GC00001705_r1_1_p1	shell	X			
GC00000385_p1	shell	S			
GC00002190_r1_1_p1	shell	X			
GC00002302_p1	shell	E			
GC00002814_p1	shell	X			
GC00002592_p1	shell	S			
GC00001817_p2	shell	X			
GC00002517_p1	shell	S			
GC00001959_r1_r1_1_p2	shell	X			
GC00001978_3_p1	shell	S			
GC00000035_r1_8_p1	shell	U			
GC00002005_4_p2	shell	S			
GC00002607_r1_1_p1	shell	X			
GC00003752_p1	shell	X			
GC00001876_r1_1_p2	shell	M			
GC00000226_r1_r1_1_p1	shell	X			
GC00000341_p2	shell	S			
GC00002005_4_p1	shell	S			
GC00000166_r1_1_p2	shell	L			
GC00001719_p1	shell	O			
GC00000072_10_p1	shell	M			
GC00000197_r1_1_p2	shell	V			
GC00002348_3_p1	shell	E			
GC00001595_p2	shell	S			
GC00002526_1_p1	shell	X			
GC00002119_r1_1_p2	shell	K			
GC00001852_r1_1_p2	shell	X			
GC00001817_p1	shell	X			
GC00001852_r1_1_p1	shell	X			
GC00002320_5_p1	shell	X			
GC00000178_r1_1_p1	shell	K			
GC00000250_r1_r1_1_p2	softcore	S			
GC00000273_p2	shell	L			
GC00002808_p1	shell	S			
GC00000265_r1_1_p1	shell	S			
GC00001776_p2	shell	S			
GC00001700_p2	shell	P			
GC00000126_2_p2	softcore	S			
GC00000240_r1_1_p2	softcore	I			
GC00000406_2_p2	core	S			
GC00001959_r1_r1_1_p1	shell	X			
GC00002215_p2	shell	X			
GC00000129_p2	core	S			
GC00000403_p2	core	M			
GC00000019_7_p1	core	E			
GC00001917_p2	shell	X			
GC00001830_2_p1	shell	M			
GC00001481_r1_r1_1_p2	shell	S			
GC00001746_r1_r1_1_p1	shell	X			
GC00001604_r1_1_p1	shell	S			
GC00002473_1_p1	shell	P			
