strain_plus_code	Completeness	Contamination	Strain.heterogeneity	Genome.size..bp.	X..scaffolds	N50..scaffolds.	Mean.scaffold.length..bp.	Longest.scaffold..bp.	GC	GC.std..scaffolds...1kbp.	Coding.density	CDS Number	Gene Number	rRNA Number	tRNA Number	tmRNA Number	Number of Repeat Regions
adeliensis_001	99.44	1.14	37.5	3089898	10	1641620	308989	1641620	42.9	2.62	82.11	2594	2658	15	48	1	0
aestuarii_044	100	0.82	0	2796792	3	2775662	932264	2775662	49.6	6.72	84.49	2351	2414	15	47	1	1
alimentarius_002	99.73	1.7	0	3380690	36	205278	93908	458423	43.2	2.97	84.11	2807	2854	4	42	1	1
alimentarius_024	99.73	1.7	0	3377189	39	201969	86594	676548	43.2	2.86	84	2796	2845	7	41	1	0
aquaticus_003	99.58	0.55	0	3224390	34	188409	94835	728504	43.1	3.29	83.9	2700	2748	5	42	1	0
aquimaris_025	100	0.32	0	3441953	17	779875	202467	1257937	43	2.3	83.08	2938	2994	8	47	1	0
arcticus_004	99.73	0	0	2598342	223	22225	11651	145427	42.7	1.88	81.97	2167	2211	3	40	1	0
arenosus_005	99.95	0.69	0	3696886	1	3696886	3696886	3696886	44.8	0	80.86	2930	2991	12	48	1	4
celer_006	99.63	0.62	0	3018388	68	110707	44388	363295	46.7	3.84	82.71	2477	2525	3	44	1	0
cibarius_007	100	0.27	0	3221268	129	71789	24971	207231	42.9	3.37	82.94	2653	2702	5	43	1	1
cibarius_026	99.56	0.5	33.33	3410696	35	505972	97448	864147	42.8	2.93	83.19	2969	3018	3	45	1	0
ciconiae_008	98.83	0.27	0	2484493	2	2435767	1242246	2435767	45.7	2.55	85.72	2169	2230	12	48	1	1
cryohalolentis_009	100	0	0	3036174	31	276954	97941	510435	42.3	2.1	83.83	2494	2543	6	42	1	0
faecalis_023	99.53	0.27	0	3208491	19	1113296	168867	1498669	43.5	4.16	82.4	2792	2843	6	44	1	0
faecalis_087	99.44	0.27	0	3072668	101	65532	30422	156326	43.6	2.97	82.99	2549	2596	4	42	1	0
fjordensis_054	98.35	1.5	0	3443229	8	2039925	430403	2039925	42.5	0.78	82.26	2775	2846	18	53	0	0
fozii_021	99.68	1.25	16.67	3499339	24	427950	145805	676954	42.4	2.78	82.92	2850	2901	7	43	1	1
frigidicola_010	99.6	1.28	0	2859025	2	2857625	1429512	2857625	42.2	12.41	82.41	2386	2442	9	46	1	0
frigidicola_056	97.73	0.69	0	2775499	78	77429	35583	336347	42.6	2.66	81.41	2332	2377	3	41	1	0
fulvigenes_045	99.18	1.85	20	3465773	5	3404288	693154	3404288	44.1	3.77	82.88	2981	3042	12	48	1	1
glaciei_055	99.86	0.62	0	3350593	20	549372	167529	921132	43.4	2.35	83.06	2773	2822	5	43	1	0
glacincola_011	100	0.37	100	3247549	117	126285	27756	306358	42.5	2.63	81.96	2647	2698	6	44	1	0
glacincola_057	99.86	0.32	0	3304715	5	1165273	660943	1462317	42.9	2.77	82.78	2798	2859	12	48	1	0
immobilis_012	100	0.55	0	3244487	52	144659	62393	467980	42.8	2.74	83.21	2678	2730	8	43	1	1
immobilis_058	99.86	0.55	0	3619708	132	93898	27422	322866	43.2	3.95	82.5	2982	3034	6	45	1	5
immobilis_059	100	0.27	0	3490911	68	193752	51336	263564	42.8	3.77	83.21	2915	2972	9	47	1	0
immobilis_060	99.95	0.82	0	3223472	68	178052	47404	291753	42.8	2.69	82.92	2667	2716	6	42	1	0
immobilis_061	100	0.27	0	3473556	74	113199	46939	219700	42.7	3.65	83.05	2890	2945	7	47	1	0
immobilis_062	99.95	1.24	0	3167426	72	124825	43992	351306	42.9	2.45	83.14	2608	2656	6	41	1	0
immobilis_063	99.18	1.47	50	3474672	27	536293	128691	1650953	43.6	4.63	81.47	2962	3024	12	49	1	0
immobilis_064	99.28	0.96	0	3360883	178	37268	18881	117080	43.4	2.18	82.55	2753	2803	5	44	1	0
immobilis_065	99.73	1.21	62.5	3564885	198	104835	18004	365899	43.2	3.31	82.91	2898	2950	7	44	1	1
immobilis_066	99.31	1.24	0	3247678	6	3164805	541279	3164805	42.5	1.62	83.62	2789	2845	9	46	1	2
immobilis_067	99.91	0.27	0	3010214	124	47517	24275	124907	44.7	2.18	83.03	2509	2558	5	43	1	2
immobilis_068	99.95	0.96	0	3552175	107	79422	33197	377815	43.2	3.02	82.96	2911	2961	8	41	1	0
immobilis_069	100	0.27	0	3392689	75	162237	45235	268809	42.6	2.98	83.15	2846	2895	5	43	1	0
immobilis_070	100	0.27	0	3444614	60	142234	57410	472615	42.6	2.99	83.15	2895	2944	5	43	1	0
immobilis_071	99.4	0	0	3213928	127	68453	25306	158430	43.1	3.16	82.72	2626	2673	4	42	1	1
immobilis_072	100	0.82	0	3123162	28	448325	111541	629905	42.4	3.25	82.75	2592	2640	5	42	1	0
immobilis_073	99.25	1.1	0	3300839	37	3046423	89211	3046423	42.7	3.71	83.16	2740	2798	9	48	1	0
