geneCluster	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	predicted_gene_name	GO_terms	KEGG_KOs	BiGG_reactions	Annotation_tax_scope	OGs	bestOG|evalue|score	COG cat	eggNOG annot
GC00000001_10	259536.Psyc_0926	5.9e-128	462.2	LPTB	GO:0003674,GO:0003824,GO:0005215,GO:0005319,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006869,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0010876,GO:0015221,GO:0015399,GO:0015405,GO:0015437,GO:0015920,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0022884,GO:0022891,GO:0022892,GO:0032991,GO:0033036,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043190,GO:0043234,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044424,GO:0044425,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071702,GO:0071704,GO:0071944,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901264,GO:1901292,GO:1901360,GO:1901361,GO:1901505,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K01990,K06861	ACOLIPAabctex,CLIPAabctex,COLIPAPabctex,COLIPAabctex,ECA4COLIPAabctex,ENLIPAabctex,GM1LIPAabctex,GM2LIPAabctex,K2L4Aabctex,LIPAabctex,O16A4COLIPAabctex	bactNOG[38]	08IUZ@bactNOG,0RAUR@gproNOG,172ZM@proNOG,COG1137@NOG	NA|NA|NA	S	abc transporter atp-binding protein
GC00000001_11	641149.HMPREF9016_00214	0.0	1174.5	CCMA2		K01990,K13926		bactNOG[38]	05CJ1@bactNOG,0B9HS@bproNOG,16Q5M@proNOG,COG0842@NOG,COG1131@NOG	NA|NA|NA	V	ABC, transporter
GC00000001_12	259536.Psyc_0426	6.7e-158	562.0	YADG	GO:0003674,GO:0003824,GO:0005215,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015399,GO:0015405,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K01990		bactNOG[38]	05DA5@bactNOG,0QJ8P@gproNOG,16QDD@proNOG,COG1131@NOG	NA|NA|NA	V	(ABC) transporter
GC00000001_13	760568.Desku_0115	1.1e-60	238.8	FECE		K02013		bactNOG[38]	05E0A@bactNOG,0EQ47@cloNOG,0NEHB@firmNOG,COG1120@NOG	NA|NA|NA	P	Abc transporter
GC00000001_14	349106.PsycPRwf_0746	7.5e-120	435.3	FEPC		K02013		bactNOG[38]	05E0A@bactNOG,0QM51@gproNOG,16S6M@proNOG,COG1120@NOG	NA|NA|NA	P	(ABC) transporter
GC00000001_15	349106.PsycPRwf_1510	5.4e-77	293.1			K02013		bactNOG[38]	06NPK@bactNOG,0R32A@gproNOG,17YBJ@proNOG,COG1120@NOG	NA|NA|NA	P	ABC transporter
GC00000001_16	349106.PsycPRwf_1510	2.4e-162	576.6			K02013		bactNOG[38]	06NPK@bactNOG,0R32A@gproNOG,17YBJ@proNOG,COG1120@NOG	NA|NA|NA	P	ABC transporter
GC00000001_17	349106.PsycPRwf_1510	3.8e-72	276.9			K02013		bactNOG[38]	06NPK@bactNOG,0R32A@gproNOG,17YBJ@proNOG,COG1120@NOG	NA|NA|NA	P	ABC transporter
GC00000001_18	561230.PC1_1526	2.1e-99	367.5	CBRD	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K02013		bactNOG[38]	05E0A@bactNOG,0QJE1@gproNOG,16RI1@proNOG,COG1120@NOG	NA|NA|NA	P	Atp-binding protein
GC00000001_19	335284.Pcryo_1285	1.8e-137	493.8	FECE	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K02013	FE3DCITabcpp	bactNOG[38]	05E0A@bactNOG,0QJE1@gproNOG,16RI1@proNOG,COG1120@NOG	NA|NA|NA	P	Atp-binding protein
